Year,CO2 Emissions (Tonnes),AverageTemperature
1900,532542351,18.54545148
1901,555225826,18.53269853
1902,578392172,18.33880321
1903,603437277,18.43477083
1904,628810351,18.211075
1905,655681476,18.39950868
1906,683806673,18.4814191
1907,715484935,18.14824514
1908,746357910,18.30231024
1909,778156577,18.34412778
1910,811344375,18.38008125
1911,845243370,18.40820243
1912,880667128,18.46474097
1913,919027511,18.49148958
1914,953777188,18.66060243
1915,987782820,18.71123993
1916,1024306349,18.55187743
1917,1062221818,18.24255417
1918,1099416208,18.39374028
1919,1131727802,18.53186146
1920,1169346800,18.54164479
1921,1202370198,18.60762408
1922,1236595912,18.50415313
1923,1276867064,18.56541944
1924,1318034817,18.62185903
1925,1354908620,18.58891319
1926,1394840606,18.86793229
1927,1437754739,18.73918194
1928,1480736664,18.73845903
1929,1525651373,18.48581944
1930,1568470765,18.84507244
1931,1608654822,18.7554
1932,1642414097,18.74608264
1933,1677115894,18.55832396
1934,1718040998,18.81882361
1935,1760083432,18.72231076
1936,1804184447,18.81061944
1937,1854770913,18.95794688
1938,1899867981,18.87344514
1939,1946295415,18.81152917
1940,1999224239,18.70296424
1941,2052610160,18.88144549
1942,2106122576,18.76261076
1943,2164822847,18.8170434
1944,2218163277,18.85743472
1945,2259798404,18.80656736
1946,2308789634,18.92441424
1947,2360530054,19.04098785
1948,2418149572,18.76123767
1949,2470731649,18.72566481
1950,2530834505,18.58881715
1951,2593317699,18.77511915
1952,2656173430,18.80569146
1953,2719845821,18.8556405
1954,2788269797,18.58032128
1955,2860922590,18.65728547
1956,2939553995,18.28758712
1957,3015261279,18.75961501
1958,3101291407,18.94217321
1959,3198424806,18.82520592
1960,3306647371,18.88701309
1961,3411185239,18.92356543
1962,3517365900,18.69384745
1963,3630521985,18.67524793
1964,3755059635,18.58127479
1965,3886479495,18.51754063
1966,4015901903,18.86628753
1967,4156091249,18.63418698
1968,4299685283,18.60581887
1969,4456101713,18.77152583
1970,4622461572,18.79412121
1971,4792726079,18.58820661
1972,4979321716,18.66561157
1973,5165960634,18.87329339
1974,5358245623,18.63144731
1975,5552068585,18.74666185
1976,5750456853,18.48219663
1977,5960204590,18.92226067
1978,6173227422,18.72951722
1979,6393870981,18.90954408
1980,6615916155,18.85332128
1981,6831956840,18.91613636
1982,7040291170,18.85216873
1983,7262640947,19.09404408
1984,7479252002,18.76496074
1985,7709114376,18.69913085
1986,7940682411,18.80115186
1987,8180063828,19.05104477
1988,8428222870,19.11167872
1989,8682344483,19.05676687
1990,8932589481,19.31768629
1991,9189987652,19.01135985
1992,9437176895,18.97200723
1993,9685797417,18.93079959
1994,9935398941,19.25170179
1995,10187324166,19.26706956
1996,10459460904,18.95837466
1997,10719402260,19.2503509
1998,10983007411,19.59678306
1999,11244228083,19.39209952
2000,11542573842,19.34920213
2001,11797638999,19.42530337
2002,12098338697,19.56552342
2003,12361822388,19.52508678
2004,12678581569,19.42209194
2005,12995472258,19.49959022
2006,13318718584,19.53913499
2007,13658215062,19.61039428
2008,13987436166,19.42396178
2009,14319510405,19.54638533
2010,14698288689,19.62980613
2011,15044592421,19.45604029
2012,15437290817,19.46874415
2013,15785880295,19.85089675
